Year,Als,Auv,Aux,Bea,Bor,Bur,Cha1,Cha2,Gai,Ger,HLV,IdF,Jur,Lan,LLV,Lux,Mar,NIt,NLo,NRv,Sav,Spa,SLo,SRv,Swi,VSE,VPC,GHDmean,GHDcore
1354,,,,,,-11.621333333333325,,,,,,,,,,,,,,,,,,,,,,-11.621333333333325,-11.621333333333325
1355,,,,,,-13.52133333333336,,,,,,,,,,,,,,,,,,,,,,-13.52133333333336,-13.52133333333336
1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,,,,,,-8.621333333333325,,,,,,,,,,,,,,,,,,,,,,-8.621333333333325,-8.621333333333325
1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,,,,,,0.5786666666666633,,,,,,,,,,,,,,,,,,,,,,0.5786666666666633,0.5786666666666633
1373,,,,,,-8.821333333333314,,,,,,,,,,,,,,,,,,,,,,-8.821333333333314,-8.821333333333314
1374,,,,,,0.3786666666666747,,,,,,,,,,,,,,,,,,,,,,0.3786666666666747,0.3786666666666747
1375,,,,,,-7.421333333333337,,,,,,,,,,,,,,,,,,,,,,-7.421333333333337,-7.421333333333337
1376,,,,,,-3.1213333333333253,,,,,,,,,,,,,,,,,,,,,,-3.1213333333333253,-3.1213333333333253
1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1378,,,,,,-4.021333333333359,,,,,,,,,,,,,,,,,,,,,,-4.021333333333359,-4.021333333333359
1379,,,,,,-4.621333333333325,,,,,,,,,,,,,,,,,,,,,,-4.621333333333325,-4.621333333333325
1380,,,,,,-6.121333333333325,,,,,,,,,,,,,,,,,,,,,,-6.121333333333325,-6.121333333333325
1381,,,,,,-5.621333333333325,,,,,,,,,,,,,,,,,,,,,,-5.621333333333325,-5.621333333333325
1382,,,,,,-12.52133333333336,,,,,,,,,,,,,,,,,,,,,,-12.52133333333336,-12.52133333333336
1383,,,,,,-22.121333333333325,,,,,,,,,,,,,,,,,,,,,,-22.121333333333325,-22.121333333333325
1384,,,,,,-19.621333333333325,,,,,,,,,,,,,,,,,,,,,,-19.621333333333325,-19.621333333333325
1385,,,,,,-17.421333333333337,,,,,,,,,,,,,,,,,,,,,,-17.421333333333337,-17.421333333333337
1386,,,,,,-8.821333333333314,,,,,,,,,,,,,,,,,,,,,,-8.821333333333314,-8.821333333333314
1387,,,,,,-7.321333333333314,,,,,,,,,,,,,,,,,,,,,,-7.321333333333314,-7.321333333333314
1388,,,,,,0.17866666666668607,,,,,,,,,,,,,,,,,,,,,,0.17866666666668607,0.17866666666668607
1389,,,,,,-2.321333333333314,,,,,,,,,,,,,,,,,,,,,,-2.321333333333314,-2.321333333333314
1390,,,,,,-12.321333333333314,,,,,,,,,,,,,,,,,,,,,,-12.321333333333314,-12.321333333333314
1391,,,,,,-12.821333333333314,,,,,,,,,,,,,,,,,,,,,,-12.821333333333314,-12.821333333333314
1392,,,,,,11.97866666666664,,,,,,,,,,,,,,,,,,,,,,11.97866666666664,11.97866666666664
1393,,,,,,-25.621333333333325,,,,,,,,,,,,,,,,,,,,,,-25.621333333333325,-25.621333333333325
1394,,,,,,4.078666666666663,,,,,,,,,,,,,,,,,,,,,,4.078666666666663,4.078666666666663
1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,,,,,,-14.921333333333337,,,,,,,,,,,,,,,,,,,,,,-14.921333333333337,-14.921333333333337
1398,,,,,,0.07866666666666333,,,,,,,,,,,,,,,,,,,,,,0.07866666666666333,0.07866666666666333
1399,,,,,,-0.9213333333333367,,,,,,,,,,,,,,,,,,,,,,-0.9213333333333367,-0.9213333333333367
1400,,,,,,-16.421333333333337,,,,,,,,,,,,,,,,,,,,,,-16.421333333333337,-16.421333333333337
1401,,,,,,-7.421333333333337,,,,,,,,,,,,,,,,,,,,,,-7.421333333333337,-7.421333333333337
1402,,,,,,-11.52133333333336,,,,,,,,,,,,,,,,,,,,,,-11.52133333333336,-11.52133333333336
1403,,,,,,-8.221333333333348,,,,,,,,,,,,,,,,,,,,,,-8.221333333333348,-8.221333333333348
1404,,,,,,3.5786666666666633,,,,,,,,,,,,,,,,,,,,,,3.5786666666666633,3.5786666666666633
1405,,,,,,-0.6213333333333253,,,,,,,,,,,,,,,,,,,,,,-0.6213333333333253,-0.6213333333333253
1406,,,,,,-2.9213333333333367,,,,,,,,,,,,,,,,,,,,,,-2.9213333333333367,-2.9213333333333367
1407,,,,,,-0.42133333333333667,,,,,,,,,,,,,,,,,,,,,,-0.42133333333333667,-0.42133333333333667
1408,,,,,,1.8786666666666747,,,,,,,,,,,,,,,,,,,,,,1.8786666666666747,1.8786666666666747
1409,,,,,,-9.121333333333325,,,,,,,,,,,,,,,,,,,,,,-9.121333333333325,-9.121333333333325
